"Issue Type","Issue Key","Summary","Preconditions","Action","Data","Expected Result","Priority","Labels","Component"
"Test","VCHR-011","[VCHR-011] Validate khách vãng lai (Guest) bị chuyển hướng đăng nhập khi tiến hành thanh toán để áp voucher","• Người dùng đang ở trạng thái chưa đăng nhập (Guest).
• Có sản phẩm trong giỏ hàng và nhấn nút ""Tiến hành thanh toán"".","1. Nhấn nút ""Thanh toán"" từ màn hình giỏ hàng.","• User role: Guest","• Hệ thống chuyển hướng người dùng đến trang Đăng nhập / Đăng ký.
• Không cho phép truy cập thẳng vào trang thanh toán khi chưa xác thực.","High","Rule#BR-07 Viewpoint#VP-02 Module#VCHR Automated","VCHR"
"Test","VCHR-012","[VCHR-012] Confirm áp dụng thành công khi giá trị đơn hàng bằng đúng giá trị tối thiểu (`min`)","• Mã `VCHMIN300` yêu cầu đơn hàng tối thiểu 300.000 VNĐ (giảm 30.000 VNĐ).
• Khách hàng có giỏ hàng với tổng tiền hàng đúng 300.000 VNĐ.","1. Nhập mã `VCHMIN300` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• Giá trị đơn hàng: 300.000 VNĐ
• Mã: `VCHMIN300`","• Áp dụng thành công, hiển thị giảm 30.000 VNĐ.
• Tổng tiền thanh toán: 270.000 VNĐ.","High","Rule#BR-02 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-013","[VCHR-013] Validate hệ thống từ chối khi giá trị đơn hàng thấp hơn 1 đồng so với mức tối thiểu (`min - 1 VNĐ`)","• Mã `VCHMIN300` yêu cầu đơn hàng tối thiểu 300.000 VNĐ.
• Khách hàng có đơn hàng trị giá đúng 299.999 VNĐ.","1. Nhập mã `VCHMIN300`.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 299.999 VNĐ","• Báo lỗi: ""Đơn hàng chưa đạt giá trị tối thiểu để áp dụng mã này"".
• Giữ nguyên tiền thanh toán 299.999 VNĐ.","High","Rule#BR-02 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-014","[VCHR-014] Confirm áp dụng thành công khi giá trị đơn hàng cao hơn 1 đồng so với mức tối thiểu (`min + 1 VNĐ`)","• Mã `VCHMIN300` yêu cầu tối thiểu 300.000 VNĐ (giảm 30.000 VNĐ).
• Khách hàng có đơn hàng trị giá 300.001 VNĐ.","1. Nhập mã `VCHMIN300`.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 300.001 VNĐ","• Áp dụng thành công, giảm 30.000 VNĐ.
• Tiền thanh toán còn lại: 270.001 VNĐ.","High","Rule#BR-02 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-015","[VCHR-015] Confirm mức giảm mã % bị chặn trần đúng Max Cap khi tính toán vượt trần (`MaxCap + 1 VNĐ`)","• Mã `SALE20` giảm 20%, Max Cap 100.000 VNĐ, đơn tối thiểu 200.000 VNĐ.
• Khách hàng có đơn hàng 500.005 VNĐ (20% của 500.005 = 100.001 VNĐ > 100.000 VNĐ).","1. Nhập mã `SALE20`.
  2. Nhấn ""Áp dụng"".","• Đơn hàng: 500.005 VNĐ
• Mã: `SALE20`","• Áp dụng thành công với mức giảm trần đúng: 100.000 VNĐ (chặn Max Cap).
• Tổng thanh toán: 400.005 VNĐ.","High","Rule#BR-11 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-016","[VCHR-016] Confirm mức giảm mã % giữ nguyên giá trị tính toán khi thấp hơn 1 đồng so với trần (`MaxCap - 1 VNĐ`)","• Mã `SALE20` giảm 20%, Max Cap 100.000 VNĐ.
• Đơn hàng trị giá 499.995 VNĐ (20% = 99.999 VNĐ = MaxCap - 1 VNĐ).","1. Nhập mã `SALE20`.
  2. Nhấn ""Áp dụng"".","• Đơn hàng: 499.995 VNĐ","• Áp dụng thành công với mức giảm đúng: 99.999 VNĐ.
• Tổng tiền thanh toán: 400.000 VNĐ (kèm phí ship nếu có).","High","Rule#BR-11 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-017","[VCHR-017] Confirm tổng tiền thanh toán hiển thị đúng 0 VNĐ khi mã giảm cố định bằng đúng tổng giá trị đơn","• Mã `FIX100K` giảm 100.000 VNĐ, min order 100.000 VNĐ.
• Đơn hàng trị giá đúng 100.000 VNĐ (miễn phí vận chuyển).","1. Nhập mã `FIX100K`.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 100.000 VNĐ, Mã: `FIX100K`","• Giảm 100.000 VNĐ.
• Tổng tiền thanh toán cập nhật hiển thị chính xác: 0 VNĐ.","High","Rule#BR-10 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-018","[VCHR-018] Confirm tổng tiền thanh toán chặn sàn ở 0 VNĐ khi mã giảm cố định lớn hơn tổng giá trị đơn","• Mã `FIX200K` giảm 200.000 VNĐ cho đơn từ 150.000 VNĐ.
• Đơn hàng trị giá 150.000 VNĐ (miễn phí vận chuyển).","1. Nhập mã `FIX200K`.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 150.000 VNĐ, Mã: `FIX200K` (Mức giảm danh định 200.000 VNĐ > 150.000 VNĐ)","• Mức giảm thực tế áp dụng là 150.000 VNĐ.
• Tổng tiền thanh toán hiển thị đúng 0 VNĐ, tuyệt đối không bị số âm (`-50.000 VNĐ`).","Critical","Rule#BR-10 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-019","[VCHR-019] Confirm quy tắc làm tròn xuống hàng đơn vị đồng VNĐ khi chiết khấu % ra số tiền lẻ thập phân","• Mã `SALE15` giảm 15%, min order 100.000 VNĐ.
• Đơn hàng trị giá 135.555 VNĐ (15% = 20.333,25 VNĐ).","1. Nhập mã `SALE15`.
  2. Nhấn nút ""Áp dụng"".","• Đơn hàng: 135.555 VNĐ","• Hệ thống làm tròn xuống (Floor) thành: 20.333 VNĐ.
• Tổng tiền hàng sau giảm: 115.222 VNĐ.","High","Rule#BR-20 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-020","[VCHR-020] Validate hệ thống từ chối khi nhập mã giảm giá có độ dài 2 ký tự (dưới ngưỡng tối thiểu 3)","• Khách hàng tại trang Thanh toán.","1. Nhập chuỗi `AB` vào ô mã giảm giá.
  2. Nhấn ""Áp dụng"".","• Mã: `AB` (2 ký tự)","• Báo lỗi: ""Mã giảm giá không hợp lệ"".","Medium","Rule#BR-19 Rule#BR-26 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-021","[VCHR-021] Confirm áp dụng thành công mã giảm giá có độ dài đúng 3 ký tự (ngưỡng min hợp lệ)","• Hệ thống cấu hình mã `VIP` (3 ký tự, giảm 30.000 VNĐ cho đơn từ 200.000 VNĐ).
• Đơn hàng 250.000 VNĐ.","1. Nhập mã `VIP`.
  2. Nhấn ""Áp dụng"".","• Mã: `VIP` (3 ký tự)","• Áp dụng thành công, giảm 30.000 VNĐ.","Medium","Rule#BR-19 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-022","[VCHR-022] Confirm áp dụng thành công mã giảm giá có độ dài đúng 20 ký tự (ngưỡng max hợp lệ)","• Hệ thống cấu hình mã `VCHRMAXLENGTH20CHARS` (20 ký tự, giảm 50.000 VNĐ).
• Đơn hàng 300.000 VNĐ.","1. Nhập mã `VCHRMAXLENGTH20CHARS`.
  2. Nhấn ""Áp dụng"".","• Mã: `VCHRMAXLENGTH20CHARS` (độ dài 20 ký tự)","• Áp dụng thành công, giảm 50.000 VNĐ.","Medium","Rule#BR-19 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-023","[VCHR-023] Validate hệ thống từ chối khi nhập mã giảm giá có độ dài 21 ký tự (vượt ngưỡng max 20)","• Khách hàng ở màn hình Thanh toán.","1. Nhập chuỗi `VCHRMAXLENGTH21CHARSS` (21 ký tự).
  2. Nhấn ""Áp dụng"".","• Mã: `VCHRMAXLENGTH21CHARSS` (21 ký tự)","• Ô nhập ngăn không cho nhập quá 20 ký tự hoặc báo lỗi: ""Mã giảm giá không hợp lệ"".","Medium","Rule#BR-19 Rule#BR-26 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-024","[VCHR-024] Confirm mã giảm giá vẫn áp dụng hợp lệ tại thời điểm 23:59:59 của ngày hết hạn (GMT+7)","• Mã `NIGHTSALE` có ngày hết hạn là `2026-09-16`.
• Đồng hồ máy chủ hệ thống mô phỏng thời điểm: `2026-09-16 23:59:59 GMT+7`.
• Đơn hàng 400.000 VNĐ.","1. Nhập mã `NIGHTSALE`.
  2. Nhấn nút ""Áp dụng"".","• Mã: `NIGHTSALE`
• Timestamp: `2026-09-16 23:59:59`","• Áp dụng thành công, chiết khấu được ghi nhận.","High","Rule#BR-03 Rule#BR-21 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-025","[VCHR-025] Validate mã giảm giá bị từ chối hết hạn tại thời điểm 00:00:00 của ngày liền kề sau ngày hết hạn","• Mã `NIGHTSALE` hết hạn ngày `2026-09-16`.
• Đồng hồ hệ thống bước sang: `2026-09-17 00:00:00 GMT+7`.","1. Nhập mã `NIGHTSALE`.
  2. Nhấn nút ""Áp dụng"".","• Timestamp: `2026-09-17 00:00:00`","• Báo lỗi: ""Mã giảm giá đã hết hạn sử dụng"".","High","Rule#BR-03 Rule#BR-21 Rule#BR-26 Viewpoint#VP-03 Module#VCHR Automated","VCHR"
"Test","VCHR-026","[VCHR-026] Validate kích hoạt tạm khóa 15 phút khi người dùng nhập sai mã liên tiếp 5 lần trong 5 phút","• Tài khoản `cust_brute_01@shopgo.vn` đang ở màn hình Thanh toán.","1. Nhập mã sai lần 1: `SAI1` $\rightarrow$ Áp dụng.
  2. Nhập mã sai lần 2: `SAI2` $\rightarrow$ Áp dụng.
  3. Nhập mã sai lần 3: `SAI3` $\rightarrow$ Áp dụng.
  4. Nhập mã sai lần 4: `SAI4` $\rightarrow$ Áp dụng.
  5. Nhập mã sai lần 5: `SAI5` $\rightarrow$ Áp dụng (trong vòng 5 phút).","• Chuỗi sai: `SAI1` $\to$ `SAI5`","• Ở lần thứ 5, hệ thống hiển thị thông báo: ""Bạn đã thử sai quá nhiều lần. Vui lòng thử lại sau 15 phút"".
• Ô nhập mã giảm giá và nút Áp dụng bị tạm khóa (disabled).","High","Rule#BR-25 Rule#BR-26 Viewpoint#VP-04 Module#VCHR Automated","VCHR"
"Test","VCHR-027","[VCHR-027] Validate hệ thống từ chối ngay lập tức khi người dùng cố gắng thao tác trong thời gian bị khóa","• Tài khoản đang trong thời gian bị phạt tạm khóa 15 phút do brute-force.","1. Cố tình gửi request áp dụng mã qua API hoặc giao diện.","• Mã: `VCH50K`","• Server trả về mã lỗi 429 Too Many Requests và thông báo ""Bạn đã thử sai quá nhiều lần. Vui lòng thử lại sau 15 phút"".","High","Rule#BR-25 Viewpoint#VP-04 Module#VCHR Automated","VCHR"
"Test","VCHR-028","[VCHR-028] Confirm hệ thống tự động mở khóa ô nhập mã sau khi hết thời gian chờ 15 phút","• Tài khoản bị khóa từ `10:00:00`.
• Thời gian hệ thống trôi qua 15 phút 01 giây (`10:15:01`).","1. Tải lại trang hoặc thao tác nhập mã `VCH50K` hợp lệ.
  2. Nhấn nút ""Áp dụng"".","• Mã: `VCH50K`","• Ô nhập mã hoạt động bình thường, áp dụng mã thành công.","Medium","Rule#BR-25 Viewpoint#VP-04 Module#VCHR Automated","VCHR"
"Test","VCHR-029","[VCHR-029] Validate hệ thống từ chối và lọc an toàn khi nhập ký tự đặc biệt hoặc mã script HTML/SQL","• Khách hàng tại trang Thanh toán.","1. Nhập chuỗi `<script>alert(1)</script>` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• Input: `<script>alert(1)</script>` và `' OR 1=1 --`","• Không kích hoạt XSS/SQL Injection.
• Báo lỗi: ""Mã giảm giá không hợp lệ"".","High","Rule#BR-19 Rule#BR-26 Viewpoint#VP-04 Module#VCHR Automated","VCHR"
"Test","VCHR-030","[VCHR-030] Validate hệ thống chặn áp voucher và vô hiệu hóa đặt hàng khi tài khoản bị khóa realtime","• Khách hàng đang mở màn hình thanh toán.
• Quản trị viên thực hiện Khóa tài khoản khách hàng này trên Admin.","1. Khách hàng nhập mã `VCH50K`.
  2. Nhấn nút ""Áp dụng"".","• Tài khoản trạng thái: `Inactive / Banned`","• Hệ thống từ chối và báo lỗi: ""Tài khoản của bạn đã bị tạm khóa, vui lòng liên hệ CSKH"".
• Nút Đặt hàng bị vô hiệu hóa.","High","Rule#BR-16 Viewpoint#VP-04 Module#VCHR Manual","VCHR"
"Test","VCHR-031","[VCHR-031] Confirm hệ thống tự động trim khoảng trắng thừa ở đầu và cuối chuỗi nhập mã","• Hệ thống có mã `VCH50K`.
• Đơn hàng 300.000 VNĐ.","1. Nhập chuỗi có khoảng trắng đầu/cuối: `""   VCH50K   ""`.
  2. Nhấn nút ""Áp dụng"".","• Input: `""   VCH50K   ""`","• Hệ thống tự động cắt bỏ khoảng trắng thừa, nhận diện mã là `VCH50K`.
• Áp dụng thành công, giảm 50.000 VNĐ.","Medium","Rule#BR-17 Viewpoint#VP-05 Module#VCHR Automated","VCHR"
"Test","VCHR-032","[VCHR-032] Validate hệ thống báo lỗi khi chuỗi nhập mã có khoảng trắng ở giữa","• Khách hàng tại trang Thanh toán.","1. Nhập chuỗi `""VCH 50K""` vào ô mã giảm giá.
  2. Nhấn nút ""Áp dụng"".","• Input: `""VCH 50K""`","• Hệ thống báo lỗi: ""Mã giảm giá không hợp lệ"".","Medium","Rule#BR-17 Rule#BR-26 Viewpoint#VP-05 Module#VCHR Automated","VCHR"
"Test","VCHR-033","[VCHR-033] Confirm hệ thống không phân biệt chữ hoa / chữ thường khi nhập mã (Case-insensitive)","• Mã trong hệ thống lưu dạng in hoa: `SALE50`.","1. Khách hàng nhập chữ thường: `sale50`.
  2. Nhấn nút ""Áp dụng"".","• Input: `sale50`","• Hệ thống tự động chuyển thành in hoa `SALE50` và áp dụng chiết khấu thành công.","Medium","Rule#BR-18 Viewpoint#VP-05 Module#VCHR Automated","VCHR"
"Test","VCHR-034","[VCHR-034] Confirm hiển thị modal đăng nhập tại chỗ khi session timeout và giữ nguyên giỏ hàng cùng mã nhập dở","• Khách hàng đang ở trang Thanh toán, giỏ hàng 400.000 VNĐ, đang nhập dở mã `VCH50K`.
• Phiên làm việc (Session token) bị hết hạn.","1. Nhấn nút ""Áp dụng"".","• Trạng thái session: Expired","• Bật popup/modal yêu cầu đăng nhập lại ngay tại chỗ (không redirect mất trang).
• Sau khi đăng nhập thành công, modal đóng lại, thông tin giỏ hàng và mã `VCH50K` trong ô nhập được giữ nguyên vẹn.","Medium","Rule#BR-15 Viewpoint#VP-05 Module#VCHR Manual","VCHR"
"Test","VCHR-035","[VCHR-035] Confirm hiển thị chính xác danh sách thông báo lỗi tiêu chuẩn cho từng trường hợp","• Khách hàng tại màn hình thanh toán.","1. Kiểm tra đối chiếu các thông báo lỗi hiển thị với bảng mẫu chuẩn BR-26.","• 6 kịch bản lỗi: rỗng, sai mã, hết hạn, thiếu min order, đã dùng, rate limit.","• 100% câu chữ thông báo hiển thị đúng từng từ theo quy định tại BR-26.","Medium","Rule#BR-26 Viewpoint#VP-05 Module#VCHR Automated","VCHR"
"Test","VCHR-036","[VCHR-036] Confirm thứ tự trừ tiền khi kết hợp Ví ShopGo: Trừ chiết khấu Voucher trước, số dư Ví trừ sau","• Đơn hàng trị giá 500.000 VNĐ (miễn phí ship).
• Mã `VCH100K` giảm 100.000 VNĐ.
• Số dư Ví ShopGo của tài khoản là 600.000 VNĐ.","1. Áp dụng mã `VCH100K`.
  2. Chọn phương thức thanh toán bằng ""Ví ShopGo"".
  3. Nhấn ""Đặt hàng"".","• Đơn hàng: 500.000 VNĐ, Voucher: -100.000 VNĐ, Số dư ví ban đầu: 600.000 VNĐ.","• Tổng tiền sau voucher là 400.000 VNĐ.
• Số dư Ví ShopGo bị trừ đúng 400.000 VNĐ (số dư còn lại 200.000 VNĐ, không bị trừ 500.000 VNĐ).","High","Rule#BR-23 Viewpoint#VP-06 Module#VCHR Manual","VCHR"
"Test","VCHR-037","[VCHR-037] Validate hệ thống tự động gỡ voucher khi sửa giỏ hàng làm tổng đơn < mức tối thiểu","• Đơn hàng gồm 2 áo giá 400.000 VNĐ, đã áp mã `MIN300K` (giảm 30.000 VNĐ cho đơn từ 300.000 VNĐ).","1. Quay lại giỏ hàng hoặc sửa số lượng giảm còn 1 áo (tổng tiền còn 200.000 VNĐ < 300.000 VNĐ).
  2. Quay lại trang Thanh toán.","• Số lượng áo: từ 2 giảm còn 1 (giá mới 200.000 VNĐ).","• Hệ thống hiển thị cảnh báo: ""Đơn hàng không còn đủ giá trị tối thiểu để áp dụng mã MIN300K"".
• Voucher tự động bị gỡ bỏ, tổng thanh toán tính theo giá gốc 200.000 VNĐ.","High","Rule#BR-13 Viewpoint#VP-06 Module#VCHR Automated","VCHR"
"Test","VCHR-038","[VCHR-038] Validate hệ thống cảnh báo và tự gỡ voucher khi server cập nhật giá làm đơn < mức tối thiểu","• Khách hàng đang ở màn hình Thanh toán với đơn hàng 300.000 VNĐ, đã áp mã `MIN300K`.
• Phía server cập nhật giảm giá sản phẩm khiến tổng đơn chỉ còn 280.000 VNĐ.","1. Khách hàng thực hiện thao tác trên màn hình thanh toán.","• Giá server cập nhật: 280.000 VNĐ.","• Hệ thống đồng bộ giá mới, thông báo giá thay đổi và tự động gỡ voucher `MIN300K`.","High","Rule#BR-24 Viewpoint#VP-06 Module#VCHR Manual","VCHR"
"Test","VCHR-039","[VCHR-039] Validate re-validate voucher khi bấm Đặt hàng: Chặn tạo đơn nếu voucher hết hạn trong lúc chờ","• Khách hàng đã áp mã `FLASHSALE` thành công lúc `23:59:50`.
• Khách hàng chần chừ, đến `00:00:10` ngày hôm sau mới bấm nút ""Đặt hàng"".","1. Nhấn nút ""Đặt hàng"".","• Thời điểm bấm Đặt hàng: Sau thời điểm hết hạn voucher.","• Hệ thống re-validate thất bại, chặn tạo đơn hàng.
• Hiển thị thông báo: ""Mã giảm giá đã hết hạn sử dụng. Vui lòng kiểm tra lại đơn hàng"".
• Gỡ bỏ voucher khỏi đơn hàng.","High","Rule#BR-03 Rule#BR-22 Viewpoint#VP-06 Module#VCHR Automated","VCHR"
"Test","VCHR-040","[VCHR-040] Confirm tự động hoàn lại lượt dùng voucher cho tài khoản khi đơn hàng bị hủy","• Tài khoản `cust_cancel_01@shopgo.vn` đã đặt đơn hàng `ORD-9999` có áp mã `UNIQUE2026` (1 lần/user).
• Đơn hàng đang ở trạng thái ""Chờ xác nhận"".","1. Khách hàng nhấn ""Hủy đơn hàng"" và xác nhận lý do hủy.
  2. Tạo đơn hàng mới và nhập lại mã `UNIQUE2026`.
  3. Nhấn ""Áp dụng"".","• Mã: `UNIQUE2026`","• Lượt dùng của mã `UNIQUE2026` được hoàn trả ngay khi hủy đơn thành công.
• Ở đơn hàng mới, áp dụng mã `UNIQUE2026` thành công không bị báo lỗi đã sử dụng.","High","Rule#BR-08 Rule#BR-14 Viewpoint#VP-06 Module#VCHR Manual","VCHR"
